series,contestant,total_points,series_total_points,series_size,series_mean_points,pct_of_series_points,share_vs_equal,points_vs_series_mean,series_rank,is_winner,pct_gap_to_winner
1,Josh Widdicombe,94,436,5,87.2,0.2156,1.078,1.078,1,True,0.0
1,Frank Skinner,93,436,5,87.2,0.2133,1.0665,1.0665,2,False,0.0023
1,Romesh Ranganathan,93,436,5,87.2,0.2133,1.0665,1.0665,2,False,0.0023
1,Tim Key,88,436,5,87.2,0.2018,1.0092,1.0092,4,False,0.0138
1,Roisin Conaty,68,436,5,87.2,0.156,0.7798,0.7798,5,False,0.0596
2,Katherine Ryan,94,417,5,83.4,0.2254,1.1271,1.1271,1,True,0.0
2,Jon Richardson,90,417,5,83.4,0.2158,1.0791,1.0791,2,False,0.0096
2,Richard Osman,86,417,5,83.4,0.2062,1.0312,1.0312,3,False,0.0192
2,Doc Brown,78,417,5,83.4,0.1871,0.9353,0.9353,4,False,0.0384
2,Joe Wilkinson,69,417,5,83.4,0.1655,0.8273,0.8273,5,False,0.06
3,Rob Beckett,87,386,5,77.2,0.2254,1.1269,1.1269,1,True,0.0
3,Dave Gorman,81,386,5,77.2,0.2098,1.0492,1.0492,2,False,0.0155
3,Al Murray,80,386,5,77.2,0.2073,1.0363,1.0363,3,False,0.0181
3,Sara Pascoe,72,386,5,77.2,0.1865,0.9326,0.9326,4,False,0.0389
3,Paul Chowdhry,66,386,5,77.2,0.171,0.8549,0.8549,5,False,0.0544
4,Noel Fielding,144,668,5,133.6,0.2156,1.0778,1.0778,1,True,0.0
4,Joe Lycett,136,668,5,133.6,0.2036,1.018,1.018,2,False,0.012
4,Mel Giedroyc,134,668,5,133.6,0.2006,1.003,1.003,3,False,0.015
4,Hugh Dennis,129,668,5,133.6,0.1931,0.9656,0.9656,4,False,0.0225
4,Lolly Adefope,125,668,5,133.6,0.1871,0.9356,0.9356,5,False,0.0284
5,Bob Mortimer,138,631,5,126.2,0.2187,1.0935,1.0935,1,True,0.0
5,Sally Phillips,130,631,5,126.2,0.206,1.0301,1.0301,2,False,0.0127
5,Mark Watson,130,631,5,126.2,0.206,1.0301,1.0301,2,False,0.0127
5,Aisling Bea,126,631,5,126.2,0.1997,0.9984,0.9984,4,False,0.019
5,Nish Kumar,107,631,5,126.2,0.1696,0.8479,0.8479,5,False,0.0491
6,Liza Tarbuck,181,837,5,167.4,0.2162,1.0812,1.0812,1,True,0.0
6,Tim Vine,175,837,5,167.4,0.2091,1.0454,1.0454,2,False,0.0072
6,Russell Howard,170,837,5,167.4,0.2031,1.0155,1.0155,3,False,0.0131
6,Asim Chaudhry,159,837,5,167.4,0.19,0.9498,0.9498,4,False,0.0263
6,Alice Levine,152,837,5,167.4,0.1816,0.908,0.908,5,False,0.0346
7,Kerry Godliman,176,816,5,163.2,0.2157,1.0784,1.0784,1,True,0.0
7,Jessica Knappett,175,816,5,163.2,0.2145,1.0723,1.0723,2,False,0.0012
7,Rhod Gilbert,167,816,5,163.2,0.2047,1.0233,1.0233,3,False,0.011
7,James Acaster,165,816,5,163.2,0.2022,1.011,1.011,4,False,0.0135
7,Phil Wang,133,816,5,163.2,0.163,0.815,0.815,5,False,0.0527
8,Lou Sanders,164,749,5,149.8,0.219,1.0948,1.0948,1,True,0.0
8,Iain Stirling,156,749,5,149.8,0.2083,1.0414,1.0414,2,False,0.0107
8,Joe Thomas,150,749,5,149.8,0.2003,1.0013,1.0013,3,False,0.0187
8,Sian Gibson,143,749,5,149.8,0.1909,0.9546,0.9546,4,False,0.028
8,Paul Sinha,136,749,5,149.8,0.1816,0.9079,0.9079,5,False,0.0374
9,Ed Gamble,167,766,5,153.2,0.218,1.0901,1.0901,1,True,0.0
9,Rose Matafeo,159,766,5,153.2,0.2076,1.0379,1.0379,2,False,0.0104
9,Katy Wix,158,766,5,153.2,0.2063,1.0313,1.0313,3,False,0.0117
9,Jo Brand,154,766,5,153.2,0.201,1.0052,1.0052,4,False,0.017
9,David Baddiel,128,766,5,153.2,0.1671,0.8355,0.8355,5,False,0.0509
10,Richard Herring,162,728,5,145.6,0.2225,1.1126,1.1126,1,True,0.0
10,Daisy May Cooper,158,728,5,145.6,0.217,1.0852,1.0852,2,False,0.0055
10,Mawaan Rizwan,151,728,5,145.6,0.2074,1.0371,1.0371,3,False,0.0151
10,Johnny Vegas,139,728,5,145.6,0.1909,0.9547,0.9547,4,False,0.0316
10,Katherine Parkinson,118,728,5,145.6,0.1621,0.8104,0.8104,5,False,0.0604
11,Sarah Kendall,158,725,5,145.0,0.2179,1.0897,1.0897,1,True,0.0
11,Mike Wozniak,154,725,5,145.0,0.2124,1.0621,1.0621,2,False,0.0055
11,Lee Mack,151,725,5,145.0,0.2083,1.0414,1.0414,3,False,0.0097
11,Jamali Maddix,137,725,5,145.0,0.189,0.9448,0.9448,4,False,0.029
11,Charlotte Ritchie,125,725,5,145.0,0.1724,0.8621,0.8621,5,False,0.0455
12,Morgana Robinson,168,778,5,155.6,0.2159,1.0797,1.0797,1,True,0.0
12,Guz Khan,167,778,5,155.6,0.2147,1.0733,1.0733,2,False,0.0013
12,Desiree Burch,161,778,5,155.6,0.2069,1.0347,1.0347,3,False,0.009
12,Alan Davies,161,778,5,155.6,0.2069,1.0347,1.0347,3,False,0.009
12,Victoria Coren Mitchell,121,778,5,155.6,0.1555,0.7776,0.7776,5,False,0.0604
13,Sophie Duker,173,795,5,159.0,0.2176,1.0881,1.0881,1,True,0.0
13,Chris Ramsey,170,795,5,159.0,0.2138,1.0692,1.0692,2,False,0.0038
13,Bridget Christie,157,795,5,159.0,0.1975,0.9874,0.9874,3,False,0.0201
13,Ardal O'Hanlon,153,795,5,159.0,0.1925,0.9623,0.9623,4,False,0.0252
13,Judi Love,142,795,5,159.0,0.1786,0.8931,0.8931,5,False,0.039
14,Dara Ó Briain,184,796,5,159.2,0.2312,1.1558,1.1558,1,True,0.0
14,Sarah Millican,174,796,5,159.2,0.2186,1.093,1.093,2,False,0.0126
14,Munya Chawawa,150,796,5,159.2,0.1884,0.9422,0.9422,3,False,0.0427
14,John Kearns,144,796,5,159.2,0.1809,0.9045,0.9045,4,False,0.0503
14,Fern Brady,144,796,5,159.2,0.1809,0.9045,0.9045,4,False,0.0503
15,Mae Martin,174,765,5,153.0,0.2275,1.1373,1.1373,1,True,0.0
15,Kiell Smith-Bynoe,158,765,5,153.0,0.2065,1.0327,1.0327,2,False,0.0209
15,Jenny Eclair,152,765,5,153.0,0.1987,0.9935,0.9935,3,False,0.0288
15,Frankie Boyle,150,765,5,153.0,0.1961,0.9804,0.9804,4,False,0.0314
15,Ivo Graham,131,765,5,153.0,0.1712,0.8562,0.8562,5,False,0.0562
16,Sam Campbell,161,721,5,144.2,0.2233,1.1165,1.1165,1,True,0.0
16,Julian Clary,155,721,5,144.2,0.215,1.0749,1.0749,2,False,0.0083
